file_hash	file_size	file_path
89ca7e6c9a22d8f9593d8f6c30c027754ce094d143422b59608c22dab3ac83f8	3723392	/Volumes/music/Donny Osmond 18 LP-CD 1970s-2000s Discography/Donny Osmond - Donny Osmond '89 (UK) - 07 - Soldier of Love.mp3
89ca7e6c9a22d8f9593d8f6c30c027754ce094d143422b59608c22dab3ac83f8	3723392	/Volumes/music/Donny Osmond 18 LP-CD 1970s-2000s Discography/Donny Osmond - Donny Osmond '89 - 01 - Soldier of Love.mp3
34724c330153b62a50c37e87fcb7a496df61fec7b4622b503346cab979d0e099	1363632	/Volumes/music/Kittyman.m4a
34724c330153b62a50c37e87fcb7a496df61fec7b4622b503346cab979d0e099	1363632	/Volumes/music/RANDOM/Kittyman.m4a
d0c6d62ac920154210fa54d0b8c3bf8ae50ad57e70d5f77297598674a139b94e	4938936	/Volumes/music/James Brown/James Brown-20 All-Time Greatest Hits!-1991/18 - Hot Pants, Pt. 1.mp3
d0c6d62ac920154210fa54d0b8c3bf8ae50ad57e70d5f77297598674a139b94e	4938936	/Volumes/music/James Brown/The Very Best of James Brown/19 Hot pants.mp3
23bb8eb75d6badd2dc3eb1c3ce20894479c3014d2ddb621b2e7157b76c5c6a5d	27687821	/Volumes/music/Miles Davis/Miles Davis   Live In Munich/Track 11.flac
23bb8eb75d6badd2dc3eb1c3ce20894479c3014d2ddb621b2e7157b76c5c6a5d	27687821	/Volumes/music/Miles Davis/Miles Davis   Munich 1988/Track 11.flac
6a8b909bddd70948dd513198b0a896ec70ab459ffbc926d1cd60926c61619f86	31404987	/Volumes/music/Miles Davis/Miles Davis   Live In Munich/Track 01.flac
6a8b909bddd70948dd513198b0a896ec70ab459ffbc926d1cd60926c61619f86	31404987	/Volumes/music/Miles Davis/Miles Davis   Munich 1988/Track 01.flac
82261b03f626b31bdf50b3bb6b50f6506c7a9f1bc9c6e74f55ab0b8d2295c822	8478554	/Volumes/music/James Brown/James Brown-Make It Funky-The Big Payback-1971-1975-Cd 1/07 - There It Is.mp3
82261b03f626b31bdf50b3bb6b50f6506c7a9f1bc9c6e74f55ab0b8d2295c822	8478554	/Volumes/music/James Brown/Make It Funky - The Big Payback/08 There It Is.mp3
51f90820df4f08cdad22b66717d49fdf14c5be871c3a7923b49127da65fe5bce	45583242	/Volumes/music/Miles Davis/Miles Davis   Live In Munich/Track 14.flac
51f90820df4f08cdad22b66717d49fdf14c5be871c3a7923b49127da65fe5bce	45583242	/Volumes/music/Miles Davis/Miles Davis   Munich 1988/Track 14.flac
8eeffa87fcaa88263a597a4d755a696306e4c935823cffb9a3acdac017c0878e	7258632	/Volumes/music/James Brown/James Brown-Messing with the blues-Cd 2/07-Further On Up The Road.mp3
8eeffa87fcaa88263a597a4d755a696306e4c935823cffb9a3acdac017c0878e	7258632	/Volumes/music/James Brown/Messing With The Blues (disc 2)/07 Further On Up The Road.mp3
026ef30300c571d3a3f22743ed93fe555c3cc6025b3e49922b55081c8da458ec	1743138	/Volumes/music/Kittyman.mp3
026ef30300c571d3a3f22743ed93fe555c3cc6025b3e49922b55081c8da458ec	1743138	/Volumes/music/RANDOM/Kittyman.mp3
0ffcb8025b7e2f3f079fbb4561b0b6840d973f73ed7a3ce654a38ac5b42f81bf	2784665	/Volumes/music/James Brown/James Brown-Messing with the blues-Cd 1/10 - For You, My Love .mp3
0ffcb8025b7e2f3f079fbb4561b0b6840d973f73ed7a3ce654a38ac5b42f81bf	2784665	/Volumes/music/James Brown/Messing With The Blues/10 For You My Love [#].mp3
6ea4d7736bc46a4bce86f5289fe194868da9b28855ba6c49b57833ad8e7f3985	5083264	/Volumes/music/James Brown/James Brown-20 All-Time Greatest Hits!-1991/08 - Think.mp3
6ea4d7736bc46a4bce86f5289fe194868da9b28855ba6c49b57833ad8e7f3985	5083264	/Volumes/music/James Brown/The Very Best of James Brown/02 Think.mp3
f78e58d1ad4d69e0b04ed5db1c34146a9c9784759f78bf1547c5317bd0ede930	5412595	/Volumes/music/James Brown/James Brown-Messing with the blues-Cd 1/12 - Everyday I Have The Blues .mp3
f78e58d1ad4d69e0b04ed5db1c34146a9c9784759f78bf1547c5317bd0ede930	5412595	/Volumes/music/James Brown/Messing With The Blues/12 Every Day I Have The Blues.mp3
67bea993440855df859892eda3c95f9cd7b48d927f7e55b8a30dfc7524f1d594	3359361	/Volumes/music/James Brown/James Brown-Messing with the blues-Cd 1/07 - I Love You, Yes I Do .mp3
67bea993440855df859892eda3c95f9cd7b48d927f7e55b8a30dfc7524f1d594	3359361	/Volumes/music/James Brown/Messing With The Blues/07 I Love You, Yes I Do.mp3
d2e6c48f8beb187bc7ecbfd9bfeb6d681a5866e2387e4981c4f021b0785a6df9	5965887	/Volumes/music/James Brown/James Brown-Messing with the blues-Cd 1/01 - Like It Is, It Was ( The Blues ) .mp3
d2e6c48f8beb187bc7ecbfd9bfeb6d681a5866e2387e4981c4f021b0785a6df9	5965887	/Volumes/music/James Brown/Messing With The Blues/01 Like It Is, Like It Was (The Blues) [#].mp3
b7635ca1716d433a247c888c192c359ddadb068a6191488ae2d806cb63e7c270	35465928	/Volumes/music/Miles Davis/Miles Davis   Live In Munich/Track 02.flac
b7635ca1716d433a247c888c192c359ddadb068a6191488ae2d806cb63e7c270	35465928	/Volumes/music/Miles Davis/Miles Davis   Munich 1988/Track 02.flac
